time,mode,cmd_vx,cmd_vy,cmd_vz,cmd_yaw_rate,pos_x,pos_y,pos_z,roll,pitch,yaw,vel_x,vel_y,vel_z,target_yaw
0.168,hover,0.0,0.0,0.0,0.0,-0.0004298217491381122,3.8149695226843194e-05,0.26529223247923045,-0.0003807501897946262,-0.00012522505357722794,-6.070678348094883e-05,-0.004962478456351833,0.00041151226194280105,0.3852551064669369,0.0
0.17,hover,0.0,0.0,0.0,0.0,-0.000439846565752538,3.89850625024644e-05,0.26606129366686254,-0.00038135096376581333,-0.00010743726369169185,-6.217728434421221e-05,-0.005012408307212902,0.00041768363781060426,0.3845305938160561,0.0
0.17200000000000001,hover,0.0,0.0,0.0,0.0,-0.0004499692257515411,3.98321927517619e-05,0.2668285421188589,-0.00038187509727303023,-8.935504959251301e-05,-6.38728149054346e-05,-0.005061329999501556,0.0004235651246487509,0.38362422599818646,0.0
0.17400000000000002,hover,0.0,0.0,0.0,0.0,-0.00046018806874218435,4.069132158145406e-05,0.26759381512888913,-0.0003823170287795952,-7.097373143002965e-05,-6.532652550635424e-05,-0.005109421495321637,0.000429564414846081,0.3826365050151113,0.0
0.176,hover,0.0,0.0,0.0,0.0,-0.0004705024344792029,4.1562355723709914e-05,0.26835736762314727,-0.00038268379688952196,-5.2300465942609187e-05,-6.697900054183056e-05,-0.005157182868509291,0.0004355170711279262,0.38177624712908026,0.0
0.178,hover,0.0,0.0,0.0,0.0,-0.00048091256203201566,4.2445880313000824e-05,0.26911953932018823,-0.00038297907469456486,-3.3376929961818585e-05,-6.850210318476649e-05,-0.005205063776406382,0.000441762294645455,0.38108584852047084,0.0
0.18,hover,0.0,0.0,0.0,0.0,-0.0004914179313683749,4.3341822757787204e-05,0.26988040731645857,-0.0003832073302223916,-1.4217248149890655e-05,-7.015642322197298e-05,-0.00525268466817958,0.00044797122239318934,0.380433998135179,0.0
0.182,hover,0.0,0.0,0.0,0.0,-0.0005020172310212902,4.425030283393111e-05,0.27063976368022613,-0.00038336438270698874,5.176130610079782e-06,-7.161031877025797e-05,-0.0052996498264576645,0.00045424003807195164,0.37967818188379066,0.0
0.184,hover,0.0,0.0,0.0,0.0,-0.0005127085886146377,4.51708009306828e-05,0.2713973391282557,-0.00038344984861772287,2.482485005250754e-05,-7.327745410677754e-05,-0.005345678796673724,0.0004602490483758467,0.37878772401479505,0.0
0.186,hover,0.0,0.0,0.0,0.0,-0.000523490608441133,4.610360252505415e-05,0.2721530705601769,-0.0003834597296974735,4.472681337635708e-05,-7.471526660686964e-05,-0.00539100991324768,0.0004664007971856752,0.37786571596060003,0.0
0.188,hover,0.0,0.0,0.0,0.0,-0.0005343625937413192,4.704859807287219e-05,0.2729071680921791,-0.00038340054127176097,6.48732551261596e-05,-7.63286386127866e-05,-0.005435992650093052,0.00047249777390902085,0.377048766001083,0.0
0.19,hover,0.0,0.0,0.0,0.0,-0.0005453243934608827,4.800625736952772e-05,0.27365985780520186,-0.0003832743875081019,8.523060682233355e-05,-7.779587421896246e-05,-0.005480899859781758,0.0004788296483277665,0.37634485651139155,0.0
0.192,hover,0.0,0.0,0.0,0.0,-0.0005563751808109722,4.8976407756793384e-05,0.2744111536605794,-0.00038308484289859327,0.00010579167142713323,-7.940773596486833e-05,-0.00552539367504476,0.00048507519363283043,0.3756479276887753,0.0
0.194,hover,0.0,0.0,0.0,0.0,-0.0005675136546368792,4.995919548647797e-05,0.27516089398690824,-0.0003828280800047566,0.00012655302180595882,-8.082051536220185e-05,-0.005569236912953501,0.0004913938648422935,0.37487016316441574,0.0
0.196,hover,0.0,0.0,0.0,0.0,-0.0005787381422523539,5.095418262321214e-05,0.2759089149491499,-0.0003825049792133972,0.0001475308810677195,-8.243027744882388e-05,-0.0056122438077373625,0.000497493568367085,0.37401048112082375,0.0
0.198,hover,0.0,0.0,0.0,0.0,-0.0005900474632540264,5.1961673018104876e-05,0.27665521533487414,-0.00038211284831420224,0.00016871719808593769,-8.382880887105333e-05,-0.005654660500836268,0.0005037451974463684,0.37315019286212275,0.0
0.2,hover,0.0,0.0,0.0,0.0,-0.0006014408055524644,5.298151801161621e-05,0.27739994086133524,-0.00038165726265697785,0.00019010425199951665,-8.538779293091728e-05,-0.005696671149219028,0.0005099224967556687,0.3723627632305462,0.0
0.202,hover,0.0,0.0,0.0,0.0,-0.0006129176422511644,5.401408240343438e-05,0.2781432140863008,-0.0003811387615512908,0.00021166707135836165,-8.678621350525801e-05,-0.0057384183493500085,0.0005162821959090834,0.3716366124827867,0.0
0.20400000000000001,hover,0.0,0.0,0.0,0.0,-0.0006244769376001292,5.5059131787603605e-05,0.27888502188461656,-0.0003805604385295402,0.00023340332278380292,-8.833465099756105e-05,-0.0057796476744823525,0.000522524692084615,0.3709038991578619,0.0
0.20600000000000002,hover,0.0,0.0,0.0,0.0,-0.0006361174589457059,5.6116845213388715e-05,0.2796252654143075,-0.0003799191982687707,0.00025530725715905693,-8.969128769015586e-05,-0.005820260672788366,0.0005288567128925551,0.370121764845472,0.0
0.20800000000000002,hover,0.0,0.0,0.0,0.0,-0.0006478377505816111,5.718686532719704e-05,0.28036386798552404,-0.00037921701762598005,0.0002773885363162897,-9.122446127838256e-05,-0.005860145817952622,0.0005350100569041617,0.36930128560828557,0.0
0.21,hover,0.0,0.0,0.0,0.0,-0.0006596367338841426,5.826947617312112e-05,0.2811008458032495,-0.00037845197021571053,0.000299636142087042,-9.256473366891844e-05,-0.005899491651265737,0.0005413054229620396,0.36848890886274643,0.0
0.212,hover,0.0,0.0,0.0,0.0,-0.0006715134316135694,5.936447598822344e-05,0.28183627569240444,-0.00037762846928802394,0.0003220455387395461,-9.40568582181623e-05,-0.005938348864713434,0.0005474999075511591,0.36771494457747356,0.0
0.214,hover,0.0,0.0,0.0,0.0,-0.0006834670298516984,6.0472152488572055e-05,0.2825702109952954,-0.0003767459237199857,0.0003445987827842955,-9.538104359178644e-05,-0.0059767991190644715,0.0005538382501743077,0.36696765144547067,0.0
0.216,hover,0.0,0.0,0.0,0.0,-0.0006954963905126237,6.159224898961503e-05,0.2833026416329456,-0.0003758073043032525,0.0003672956822694504,-9.685225325572603e-05,-0.006014680330462672,0.0005600482505214899,0.36621531882510755,0.0
